Target,Seed,Dataset,Model,Attack,Epsilon,N,Direction
untargeted,789789,Oil,GRU,BRS,0.2,1,
untargeted,789789,Oil,GRU,FGSM,0.2,1,
untargeted,789789,Oil,GRU,FULLVITA,0.2,1,
untargeted,789789,Oil,GRU,NOATTACK,0.2,1,
untargeted,789789,Oil,GRU,NVITA,0.2,1,
untargeted,789789,Oil,GRU,NVITA,0.2,3,
untargeted,789789,Oil,GRU,NVITA,0.2,5,
untargeted,789789,Oil,LSTM,BIM,0.2,1,
untargeted,789789,Oil,LSTM,BRNV,0.2,5,
untargeted,789789,Oil,LSTM,BRS,0.2,1,
untargeted,789789,Oil,LSTM,FGSM,0.2,1,
untargeted,789789,Oil,LSTM,FULLVITA,0.2,1,
untargeted,789789,Oil,LSTM,NOATTACK,0.2,1,
untargeted,789789,Oil,LSTM,NVITA,0.2,1,
untargeted,789789,Oil,LSTM,NVITA,0.2,3,
untargeted,789789,Oil,LSTM,NVITA,0.2,5,
untargeted,789789,Oil,RF,BRNV,0.15,5,
untargeted,789789,Oil,RF,BRS,0.15,1,
untargeted,789789,Oil,RF,FULLVITA,0.15,1,
untargeted,789789,Oil,RF,NOATTACK,0.15,1,
untargeted,789789,Oil,RF,NVITA,0.15,1,
untargeted,789789,Oil,RF,NVITA,0.15,3,
untargeted,789789,Oil,RF,NVITA,0.15,5,
untargeted,789789,Oil,RF,BRNV,0.2,5,
untargeted,789789,Oil,RF,BRS,0.2,1,
untargeted,789789,Oil,RF,FULLVITA,0.2,1,
untargeted,789789,Oil,RF,NOATTACK,0.2,1,
untargeted,789789,Oil,RF,NVITA,0.2,1,
untargeted,789789,Oil,RF,NVITA,0.2,3,
untargeted,789789,Oil,RF,NVITA,0.2,5,
untargeted,1111111,Oil,CNN,BIM,0.2,1,
untargeted,1111111,Oil,CNN,BRNV,0.2,5,
untargeted,1111111,Oil,CNN,BRS,0.2,1,
untargeted,1111111,Oil,CNN,FGSM,0.2,1,
untargeted,1111111,Oil,CNN,FULLVITA,0.2,1,
untargeted,1111111,Oil,CNN,NOATTACK,0.2,1,
untargeted,1111111,Oil,CNN,NVITA,0.2,1,
untargeted,1111111,Oil,CNN,NVITA,0.2,3,
untargeted,1111111,Oil,CNN,NVITA,0.2,5,
untargeted,1111111,Oil,GRU,BRNV,0.15,5,
untargeted,1111111,Oil,GRU,NVITA,0.15,3,
untargeted,1111111,Oil,GRU,NVITA,0.15,5,
untargeted,1111111,Oil,GRU,BIM,0.2,1,
untargeted,1111111,Oil,GRU,BRNV,0.2,5,
untargeted,1111111,Oil,GRU,BRS,0.2,1,
untargeted,1111111,Oil,GRU,FGSM,0.2,1,
untargeted,1111111,Oil,GRU,FULLVITA,0.2,1,
untargeted,1111111,Oil,GRU,NOATTACK,0.2,1,
untargeted,1111111,Oil,GRU,NVITA,0.2,1,
untargeted,1111111,Oil,GRU,NVITA,0.2,3,
untargeted,1111111,Oil,GRU,NVITA,0.2,5,
untargeted,1111111,Oil,LSTM,BIM,0.2,1,
untargeted,1111111,Oil,LSTM,BRNV,0.2,5,
untargeted,1111111,Oil,LSTM,BRS,0.2,1,
untargeted,1111111,Oil,LSTM,FGSM,0.2,1,
untargeted,1111111,Oil,LSTM,FULLVITA,0.2,1,
untargeted,1111111,Oil,LSTM,NOATTACK,0.2,1,
untargeted,1111111,Oil,LSTM,NVITA,0.2,1,
untargeted,1111111,Oil,LSTM,NVITA,0.2,3,
untargeted,1111111,Oil,LSTM,NVITA,0.2,5,
untargeted,1111111,Oil,RF,BRNV,0.15,5,
untargeted,1111111,Oil,RF,BRS,0.15,1,
untargeted,1111111,Oil,RF,FULLVITA,0.15,1,
untargeted,1111111,Oil,RF,NOATTACK,0.15,1,
untargeted,1111111,Oil,RF,NVITA,0.15,1,
untargeted,1111111,Oil,RF,NVITA,0.15,3,
untargeted,1111111,Oil,RF,NVITA,0.15,5,
untargeted,1111111,Oil,RF,BRNV,0.2,5,
untargeted,1111111,Oil,RF,BRS,0.2,1,
untargeted,1111111,Oil,RF,FULLVITA,0.2,1,
untargeted,1111111,Oil,RF,NOATTACK,0.2,1,
untargeted,1111111,Oil,RF,NVITA,0.2,1,
untargeted,1111111,Oil,RF,NVITA,0.2,3,
untargeted,1111111,Oil,RF,NVITA,0.2,5,
