Auckland,Christchurch,Dunedin,Hamilton,Lower Hutt,North Shore,Tauranga,Waitakere,Wellington
17.762999999999995,12.594,11.853,17.624000000000002,15.25,17.762999999999995,16.505,17.762999999999995,15.25
20.547,14.774,13.696,20.207,17.67,20.547,18.921,20.547,17.67
18.671,12.376,10.457,17.589000000000002,15.364,18.671,16.663999999999998,18.671,15.364
17.253999999999998,10.737,7.422999999999999,15.415,13.791,17.253999999999998,15.022,17.253999999999998,13.791
15.739,9.67,5.093999999999999,13.359000000000002,12.585,15.739,13.47,15.739,12.585
14.299,7.401,1.876,11.397,10.705,14.299,11.873,14.299,10.705
12.562,6.135999999999999,0.79,9.696,9.207,12.562,10.331,12.562,9.207
11.309,5.776,1.599,8.982999999999999,8.439,11.309,9.504,11.309,8.439
12.937,8.466000000000001,5.832000000000001,11.547,10.743,12.937,11.549,12.937,10.743
14.653,9.772,8.152999999999999,13.778,12.276,14.653,13.291,14.653,12.276
15.922,10.503,9.31,15.275,13.262,15.922,14.699000000000002,15.922,13.262
17.904,13.271,12.46,17.666999999999994,15.683,17.904,16.743,17.904,15.683
17.935,12.785,12.048,17.782,15.431,17.935,16.701,17.935,15.431
20.242,14.476,13.401,19.917,17.354000000000006,20.242,18.54,20.242,17.354000000000006
18.844,12.675,10.757,17.816,15.628,18.844,16.887999999999998,18.844,15.628
16.697,9.938,6.569,14.832,13.118,16.697,14.489,16.697,13.118
14.19,7.488999999999999,2.822,11.634,10.675,14.19,11.9,14.19,10.675
12.422,6.374,1.056,9.547,9.277,12.422,10.114,12.422,9.277
12.488,5.255999999999999,-0.2129999999999998,9.505,8.668999999999999,12.488,10.157,12.488,8.668999999999999
11.951,6.222,1.984,9.659,8.986,11.951,10.131,11.951,8.986
13.366,8.165,5.403,11.893,10.751,13.366,11.798,13.366,10.751
13.328,8.558,6.960999999999999,12.422,11.017,13.328,12.081,13.328,11.017
15.943,11.761,10.851,15.525,13.946,15.943,14.761,15.943,13.946
16.828,12.032,11.222,16.570999999999998,14.496,16.828,15.648,16.828,14.496
18.861,13.901,13.356,18.619,16.209,18.861,17.555,18.861,16.209
17.922,13.191,12.461,17.526,15.44,17.922,16.503999999999998,17.922,15.44
17.582,12.091,10.344,16.575999999999997,14.706,17.582,15.765999999999998,17.582,14.706
14.813,8.869,5.626,12.978,11.789,14.813,12.834,14.813,11.789
13.912999999999998,7.656000000000001,2.86,11.486,11.019,13.912999999999998,11.85,13.912999999999998,11.019
12.285,5.707000000000001,0.0989999999999999,9.382,9.133,12.285,10.017,12.285,9.133
11.521,6.134,0.6709999999999999,8.912999999999998,9.374,11.521,9.691,11.521,9.374
10.536,5.843999999999999,1.644,8.402999999999999,8.48,10.536,8.987,10.536,8.48
11.11,6.997999999999998,4.2780000000000005,9.76,9.404,11.11,9.918,11.11,9.404
12.857,8.838000000000003,7.037999999999999,12.18,11.584,12.857,11.927,12.857,11.584
12.96,9.711,8.998999999999997,12.521,11.517,12.96,12.078,12.96,11.517
15.418,11.202,10.601,15.106999999999998,13.294,15.418,14.42,15.418,13.294
19.624,13.489,12.55,19.57,16.433,19.624,18.264,19.624,16.433
20.041,13.707,12.565,19.439,16.567999999999998,20.041,18.292,20.041,16.567999999999998
17.807000000000006,11.745,10.042,16.604,14.262,17.807000000000006,15.764,17.807000000000006,14.262
17.264,12.061,8.889,15.366,13.99,17.264,14.989,17.264,13.99
14.45,9.027,4.556,11.873,11.217,14.45,12.130999999999998,14.45,11.217
12.813,6.627000000000001,1.412,9.772,9.041,12.813,10.293,12.813,9.041
13.008,7.6309999999999985,2.052,10.166,9.788,13.008,10.75,13.008,9.788
10.397,5.907,2.108,8.074,7.876,10.397,8.606,10.397,7.876
13.28,8.837,6.273,11.707999999999998,10.613,13.28,11.633,13.28,10.613
14.630999999999998,9.532,7.786,13.757,11.984000000000002,14.630999999999998,13.317,14.630999999999998,11.984000000000002
16.572,10.957,9.914,15.996,13.406,16.572,15.235,16.572,13.406
19.086,13.315,12.564,18.813,15.822,19.086,17.718,19.086,15.822
19.352,14.228,13.225,19.366,17.153,19.352,18.365,19.352,17.153
19.774,14.892,13.938,19.575000000000006,17.272000000000002,19.774,18.329,19.774,17.272000000000002
18.542,13.486,11.475,17.831,16.124000000000002,18.542,16.898999999999994,18.542,16.124000000000002
16.476999999999997,11.184,7.931,14.825,13.733,16.476999999999997,14.468,16.476999999999997,13.733
13.815,8.356,4.0680000000000005,11.421,11.206,13.815,11.745,13.815,11.206
12.139,7.3900000000000015,2.738,9.385,9.727,12.139,10.014,12.139,9.727
11.327,6.125,1.464,8.574,8.642999999999999,11.327,9.283,11.327,8.642999999999999
11.18,6.432,2.408,8.889,8.611,11.18,9.388,11.18,8.611
12.308,8.258,5.631,10.909,10.388000000000002,12.308,10.936,12.308,10.388000000000002
12.791,8.027999999999999,6.417000000000001,11.771,10.537,12.791,11.508,12.791,10.537
15.255999999999998,10.959,9.76,14.74,13.145,15.255999999999998,14.196,15.255999999999998,13.145
16.602,12.363,12.009,16.397000000000002,14.422,16.602,15.504,16.602,14.422
19.087,13.373,12.776,18.685,15.878,19.087,17.667,19.087,15.878
20.47,13.837,13.034,19.909,16.952,20.47,18.659,20.47,16.952
18.982,11.517,9.811,17.726999999999997,15.021,18.982,16.860999999999994,18.982,15.021
16.433,9.893,6.731,14.469,12.995,16.433,14.215,16.433,12.995
14.34,8.593,4.513999999999999,11.771,11.071,14.34,11.984000000000002,14.34,11.071
12.057,7.196000000000001,2.246,9.309,9.689,12.057,9.925,12.057,9.689
12.538,6.124,0.7879999999999999,9.448,8.878,12.538,10.159999999999998,12.538,8.878
12.603,7.596,4.087,10.31,9.886,12.603,10.736,12.603,9.886
13.763,9.159,6.352,12.303999999999998,11.265999999999998,13.763,12.215,13.763,11.265999999999998
15.183,10.528,8.862,14.254,12.634,15.183,13.786,15.183,12.634
17.394000000000002,12.038,10.403,16.676000000000002,14.713,17.394000000000002,16.099,17.394000000000002,14.713
18.995,12.704,11.294,18.542,15.896,18.995,17.715999999999998,18.995,15.896
20.283,14.344,13.186,20.097,17.386,20.283,18.97,20.283,17.386
19.44,14.769,13.4,19.205,17.209000000000003,19.44,18.121,19.44,17.209000000000003
18.061,12.933,10.979,17.130999999999997,15.407,18.061,16.275,18.061,15.407
17.110999999999994,11.591,8.192,15.415,14.271999999999998,17.110999999999994,15.064,17.110999999999994,14.271999999999998
14.162999999999998,8.77,4.172,11.683,11.398,14.162999999999998,11.935,14.162999999999998,11.398
11.637,6.542999999999999,1.3869999999999998,8.782,8.600999999999999,11.637,9.35,11.637,8.600999999999999
12.606,7.608,2.132,9.851,9.97,12.606,10.507,12.606,9.97
11.573,6.809,2.647,9.292,9.25,11.573,9.817,11.573,9.25
13.099,8.574,5.939,11.754,10.932,13.099,11.720999999999998,13.099,10.932
14.005,9.665,7.899,13.039,11.924,14.005,12.72,14.005,11.924
14.073,10.518,9.268,13.621,12.468,14.073,13.22,14.073,12.468
17.245,13.014,12.038,16.965999999999998,15.19,17.245,16.248,17.245,15.19
17.616,12.417,11.35,17.39,15.115,17.616,16.4,17.616,15.115
17.207,12.467,11.603,16.884,14.962000000000002,17.207,15.906,17.207,14.962000000000002
17.397000000000002,12.273,10.499,16.587999999999994,14.912,17.397000000000002,15.816999999999998,17.397000000000002,14.912
15.708999999999998,10.959,7.984,14.15,13.314,15.708999999999998,13.917,15.708999999999998,13.314
13.832999999999998,8.414,4.171,11.494000000000002,11.084,13.832999999999998,11.81,13.832999999999998,11.084
12.225,5.555,0.153,9.306,9.115,12.225,9.921,12.225,9.115
11.999,6.188,1.62,9.371,9.151,11.999,9.968,11.999,9.151
11.14,5.4670000000000005,1.482,8.882,8.206,11.14,9.353,11.14,8.206
12.056,7.768,5.129,10.763,9.943,12.056,10.747,12.056,9.943
