new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,population,gdp_per_capita
73881.0,892.0,8466.0,35607.0,1347899.0,3641900.0,55.45,336997624.0,54225.446
64491.0,756.0,8541.0,35195.0,972528.0,2305161.0,55.44,336997624.0,54225.446
37867.0,313.0,8606.0,35675.0,565221.0,765320.0,55.43,336997624.0,54225.446
68261.0,465.0,8849.0,36624.0,951736.0,3100153.0,55.42,336997624.0,54225.446
63389.0,831.0,9012.0,37551.0,1555863.0,3970995.0,55.4,336997624.0,54225.446
75764.0,2602.0,9024.0,37748.0,1670398.0,4355764.0,55.38,336997624.0,54225.446
79840.0,1013.0,9194.0,37953.0,1519384.0,4494841.0,55.36,336997624.0,54225.446
84423.0,903.0,9145.0,37856.0,1453824.0,4308139.0,55.34,336997624.0,54225.446
70340.0,760.0,9130.0,37546.0,1012634.0,2889794.0,55.33,336997624.0,54225.446
47323.0,292.0,9245.0,38089.0,645675.0,1401230.0,55.32,336997624.0,54225.446
63236.0,453.0,9452.0,38927.0,1057190.0,3022079.0,55.31,336997624.0,54225.446
80695.0,864.0,9536.0,39201.0,1614442.0,3481762.0,55.29,336997624.0,54225.446
74885.0,937.0,9581.0,39469.0,1677285.0,3704924.0,55.27,336997624.0,54225.446
74313.0,908.0,9476.0,39188.0,1486017.0,3756888.0,55.26,336997624.0,54225.446
82764.0,870.0,9530.0,39406.0,1457318.0,3611126.0,55.24,336997624.0,54225.446
55359.0,709.0,9551.0,39012.0,1009009.0,2368221.0,55.23,336997624.0,54225.446
43820.0,350.0,9632.0,39460.0,613233.0,1135678.0,55.23,336997624.0,54225.446
59871.0,496.0,9828.0,40212.0,1020697.0,2589227.0,55.22,336997624.0,54225.446
62312.0,837.0,9918.0,40206.0,1571575.0,3237671.0,55.2,336997624.0,54225.446
64707.0,898.0,9916.0,40046.0,1656011.0,3484767.0,55.18,336997624.0,54225.446
66186.0,941.0,9842.0,39201.0,1498558.0,3505503.0,55.17,336997624.0,54225.446
62674.0,763.0,9705.0,38562.0,1412186.0,3307422.0,55.15,336997624.0,54225.446
54285.0,750.0,9572.0,37357.0,995672.0,2213283.0,55.14,336997624.0,54225.446
34405.0,309.0,9546.0,37133.0,590769.0,995533.0,55.14,336997624.0,54225.446
43308.0,481.0,9759.0,37540.0,999611.0,2397871.0,55.12,336997624.0,54225.446
52031.0,666.0,9665.0,37207.0,1575316.0,2904344.0,55.11,336997624.0,54225.446
55867.0,984.0,9535.0,36881.0,1581606.0,3098534.0,55.09,336997624.0,54225.446
57686.0,884.0,9371.0,35989.0,1422330.0,3058426.0,55.08,336997624.0,54225.446
57733.0,804.0,9242.0,35364.0,1316420.0,2920768.0,55.06,336997624.0,54225.446
48164.0,749.0,9105.0,34005.0,905273.0,1864465.0,55.05,336997624.0,54225.446
30591.0,323.0,9075.0,33764.0,523020.0,881744.0,55.05,336997624.0,54225.446
45398.0,486.0,9209.0,33964.0,897890.0,1968991.0,55.03,336997624.0,54225.446
42726.0,874.0,9180.0,33755.0,1423827.0,2507643.0,55.02,336997624.0,54225.446
45818.0,814.0,8951.0,33339.0,1532197.0,2560193.0,55.0,336997624.0,54225.446
45929.0,796.0,8833.0,32505.0,1311495.0,2532298.0,54.99,336997624.0,54225.446
48190.0,758.0,8646.0,31832.0,1179260.0,2519061.0,54.97,336997624.0,54225.446
34945.0,639.0,8468.0,30635.0,853463.0,1541384.0,54.96,336997624.0,54225.446
22738.0,263.0,8359.0,30154.0,485271.0,617005.0,54.17,336997624.0,54225.446
32814.0,402.0,8341.0,29987.0,860803.0,1610644.0,54.17,336997624.0,54225.446
35282.0,680.0,8298.0,29482.0,1337090.0,2055290.0,56.94,336997624.0,54225.446
35974.0,766.0,8114.0,29113.0,1345783.0,2024382.0,56.94,336997624.0,54225.446
